name,the_geom
Carrefour Contact,POINT (829935.4059535349 6175268.057803714)
Carrefour Contact,POINT (494308.120823334 5472232.703084512)
Vival,POINT (528313.0749190896 5734343.004751108)
Spar,POINT (274244.3152812058 5360040.6950845355)
Pulsat,POINT (286777.4539230972 5355253.569148382)
E.Leclerc,POINT (350632.32319411484 6496582.192707051)
Au Kiosque Gourmand,POINT (16302.279586204095 5724515.916690091)
Aldi,POINT (175814.22352600945 6568025.554363211)
Franprix,POINT (249861.5953306392 6246700.417895208)
Môments,POINT (829213.1650972681 6174920.573556535)
Boulangerie Pâtisserie Le Piémont,POINT (829434.1231545436 6174843.720089725)
,POINT (829508.9966440513 6174888.611284384)
Intermarché,POINT (-295692.6979822581 6177577.265082658)
Intermarché,POINT (-295710.90985095187 6177440.872310373)
JML auto service,POINT (-317383.67649063625 6067057.330949617)
PMU,POINT (-299781.2997512675 6070095.00771758)
Sport 2000,POINT (134735.5504829324 5392865.890768387)
,POINT (625847.3792962678 5382753.181370476)
U Drive,POINT (668673.2638269285 5690534.540437658)
Carrefour Contact,POINT (-68139.49528234605 5384737.94020482)
Domaine Klipfel,POINT (829151.4718354704 6174611.285748219)
,POINT (625604.1007394817 5382828.896137587)
Christian Coiffure,POINT (635556.1572790042 5649886.872450478)
Tabac Presse,POINT (635582.6958456093 5649886.982998792)
Go fenêtres,POINT (635610.848544831 5649888.151652477)
L'Élysée,POINT (635300.0333945871 5649867.463346178)
Garden Fleurs,POINT (635717.3145058256 5649960.450550148)
Réseau Pro,POINT (250325.9913782157 6573384.3725867355)
B&M,POINT (78722.81261825142 5995493.980639883)
bms,POINT (77797.1126558302 5996129.36075599)
Carglass,POINT (78081.80233678839 5996569.67464617)
Vib's,POINT (77996.7730871029 5996923.103312686)
Domaine Bacher,POINT (829658.57664383 6176019.38723883)
Var Garage,POINT (275192.81363288686 6243679.753479186)
Marchal,POINT (270212.64914264606 6300406.252730842)
Biocoop La Ménude,POINT (143957.5907172125 5403447.845940099)
Delbard,POINT (447120.2422525442 6082038.097227439)
Casino Shop,POINT (635097.509844987 5649992.683601236)
,POINT (635242.4923497961 5649875.72287039)
Midas,POINT (635154.6724035093 5649995.368377974)
Le Med,POINT (635190.1165293779 5649949.269293376)
Castanet Optique,POINT (166801.95990082205 5390920.730321774)
Boulangerie Teisseire,POINT (166577.67339077176 5391339.3682293305)
,POINT (-22438.9377792071 5847083.711407188)
O Verger Sainte-Victoire Fruits & Légumes,POINT (624841.7529284607 5382744.274410321)
Intermarché Super,POINT (249734.7022430839 5965247.778521964)
Speedy,POINT (78266.86406712433 5995805.563676117)
Le comptoir du piano,POINT (829402.9536971214 6177473.330606499)
Jos's Cak Tus,POINT (249418.5214933838 6249021.014811313)
Dray,POINT (249850.16281893468 6246693.957692396)
Domaine Meckert & Fils,POINT (829398.1892229156 6177628.092119606)
Nebinger,POINT (829750.4040917855 6177787.905704611)
Renault,POINT (77928.44495800273 5996708.515584268)
Renault,POINT (78010.99473061688 5996687.858681378)
Balouzat Opticiens,POINT (248950.61227773238 6248690.157996185)
Café de l'Église,POINT (248913.7766582289 6248693.067463471)
Auchan Supermarché,POINT (636721.3272571884 5650048.2270573815)
La Talemelerie,POINT (637521.424965316 5650069.705426415)
Garage des Lys,POINT (-71457.38675316585 6288741.779690886)
Anaïs et Fabrice Lechevrel,POINT (-21170.584911777656 6256651.188768065)
,POINT (-21048.278187243086 6256810.1593154315)
Le Celtique,POINT (247397.95028404595 6293373.359051989)
Paul Schoettel,POINT (827786.1271489419 6184263.084948825)
Franck Provost,POINT (247091.4320661467 6293908.528002724)
Haifa,POINT (456110.43565566256 5416205.0306107)
Maison Talbi,POINT (245300.52409826452 6253087.503607657)
Ô Pré De Chez Vous,POINT (594708.648437034 5852175.585926602)
Roquefort Carles,POINT (328786.2142797916 5461625.274962544)
Station U,POINT (388728.9865520518 5639259.44732163)
France Literie,POINT (78491.42168629353 5996654.923442542)
Tousalon,POINT (78386.33460009743 5997052.102313998)
Lapeyre,POINT (78308.58877485877 5997317.9098641435)
Optical Center,POINT (78236.70335852384 5997967.143994301)
Laurie lumière,POINT (78231.4147777459 5997989.184516003)
Point P,POINT (558510.858659722 5437693.503970224)
Doras Matériaux de construction,POINT (668354.3170080571 5980925.3372873645)
Eurotyre,POINT (77891.69322567435 5999543.097181072)
King Jouet,POINT (78435.32797276565 5997617.829476055)
La Compagnie du Lit,POINT (78478.72497320893 5997428.118075712)
Boulangerie Jeanne,POINT (-22024.99539946327 6257429.155306902)
Le Fournil de Guillaume,POINT (-22067.66416028433 6257496.345602978)
CocciMarket,POINT (-22171.013175536806 6257420.807356257)
By Cindy,POINT (-21301.11814668185 6257023.637295619)
Maison de la Presse,POINT (-22153.98129344544 6257453.21709306)
Le Fournil du Château,POINT (-22474.347655999398 6256714.275455122)
Le Conquérant,POINT (-22071.938828730792 6257457.145554436)
Lidl,POINT (-23492.319871507567 6258972.702496133)
,POINT (-21029.509721095343 6256824.602095906)
Campion Père et Fils,POINT (-267172.45041388855 6139042.179679846)
4 pieds,POINT (78569.2036978228 5997023.311728135)
XXL Maison,POINT (78622.5761576971 5996674.7655975595)
Picard,POINT (78684.9896548992 5996386.301482882)
,POINT (371388.41551271116 5868543.75843223)
Jardin d'Hivers,POINT (-22165.80342336768 6257480.987290192)
L'essentiel,POINT (-208749.62645637224 5916385.474512595)
"Alors, Ça Pousse?",POINT (595340.3298602421 5890232.6111821495)
Lidl,POINT (-236493.23007667667 6091945.204617619)
U Express,POINT (791333.1461311514 5416730.486218193)
Cycles Capcool,POINT (635412.872395455 5739535.669715432)
Nissan,POINT (635396.1761963416 5740054.257710981)
Spar,POINT (271517.2883193957 5355542.160732081)
Planete MAT,POINT (63523.05727183264 6167963.674991568)
La Cartoucherie,POINT (-19698.08408341147 6251282.4158947915)
Renault,POINT (-163510.10307399096 5374504.699972084)
Earl Hordiller,POINT (-112948.05679567887 5398934.832426066)
Culture Solid'ere,POINT (-149116.68856323094 5414454.113617181)
Atelier des Pains,POINT (263793.1294158756 5347984.096795132)
Intermarché,POINT (229546.97937941822 5238398.61706795)
,POINT (240022.16361505617 6237734.597236366)
,POINT (240014.70175433188 6237708.46620583)
,POINT (240008.2252443449 6237682.17089168)
,POINT (239998.07971117547 6237657.194587657)
Gil et Julie,POINT (348259.1752923749 5233491.9364867695)
Ch Pâtisserie,POINT (348265.49823945196 5233478.864711596)
Domaine du Traginer,POINT (348262.99355090916 5233485.491163492)
Monoprix,POINT (242828.274055033 6253441.905646921)
Rueil Musique,POINT (243327.00763768505 6254357.089741192)
Tabac Presse PMU « le Sainte Rose »,POINT (68340.29365344104 5997846.98812286)
,POINT (68251.96871254563 5997791.785376034)
,POINT (829227.9149297982 6174578.38559065)
La Fournil de la Fontaine,POINT (451146.96049864637 5616803.234758154)
,POINT (449730.4979019455 5617830.739178016)
Earl Gentes,POINT (451516.15158986225 5616881.106237087)
Bar du Centre,POINT (451204.65739072446 5616851.682099591)
Boulangerie Maison Marot,POINT (-241475.2952184736 6138374.523313942)
Joseph Le Coiffeur Homme Barbier,POINT (667338.6734008177 5979752.9660576675)
Aldi,POINT (177476.4749285817 5289377.125889144)
Brieuc,POINT (-298105.92049070157 6186956.520944968)
Location Vaisselle du Chablais,POINT (714917.652716317 5829447.793990572)
Union Nouvelle Léman,POINT (714978.1189469153 5829618.007423364)
Peugeot,POINT (82260.41612769513 6378310.922874775)
Renault,POINT (82657.73195875282 6380327.34332677)
Intermarché,POINT (-336076.2366365701 6087225.046038374)
Richard Le Droff,POINT (80771.93233669092 5998155.499278986)
Zolpan,POINT (80733.81115477365 5998176.273996688)
Atac Pièces Auto,POINT (80711.62511748502 5998188.0304003805)
Carosserie du Val de Loire,POINT (80968.46804992546 5998823.7147479765)
,POINT (-150937.9528512616 5775839.870639394)
Intermarché,POINT (867581.3255333821 6245752.341871859)
Intermarché,POINT (867451.8999903591 6245592.505946391)
Ragues,POINT (118667.16166037034 6346932.9041038165)
Vival,POINT (743044.0868589189 5838399.561259146)
JS Diffusion Automobile,POINT (81058.57091306742 5998592.980014307)
Garage Auto Patrice,POINT (81068.08397593758 5998569.126834061)
Utile,POINT (466740.67269261164 5432426.914012331)
,POINT (676261.2223290823 6250355.573479847)
Pâtisserie DK,POINT (803553.8109623861 6186852.748125357)
Aymerick et Kelly,POINT (451257.9348990181 6317910.078655974)
Boeckel,POINT (828387.753336934 6172999.394319422)
,POINT (-127356.35474813782 5681045.123826343)
Fleur'In - Fleuriste,POINT (288541.7667402235 6310432.891657125)
Mr.Bricolage,POINT (286707.8681094023 5355188.625042465)
La Fleur de Vigne,POINT (828720.175600341 6172891.693123202)
Total Access,POINT (79125.61730877771 5993851.829549565)
Cadeau et Chocolat,POINT (78976.62428933037 5994297.260598417)
Le Pain de l’Île,POINT (-140630.97025430505 5765729.9511437)
Aux Pains Dorés,POINT (-134476.64994190075 5755046.420946389)
Laverie bungalow Wash'n Dry,POINT (491765.72656397853 5434609.286291873)
SW Cars,POINT (441902.78919256484 6506231.006893845)
Leonidas,POINT (442011.439645707 6506126.899013685)
Netto,POINT (643709.8647017226 5609653.227351969)
Leonidas,POINT (364223.2948077861 6552280.18850016)
Euro Pack Tabac,POINT (364398.9488471571 6552215.695470002)
Louis Delhaize,POINT (364467.54186826723 6552233.252597273)
,POINT (364552.3324942223 6552364.538226133)
Delmarque,POINT (364638.57289090386 6552205.651525588)
Express Tabac Shop,POINT (364933.63932966854 6552213.472984104)
Papeterie,POINT (248021.99621748395 6247940.614403454)
Martine Fleurs,POINT (415156.9906389123 6107203.67477182)
VILLARD AUTO,POINT (79205.58210180214 5993860.153459362)
Lidl,POINT (488161.39148901694 5695233.003638442)
Netto Marken-Discount,POINT (761855.7028233545 6301479.840202651)
Volvo,POINT (155288.30072070597 5473180.538931872)
Au Producteur,POINT (344502.51040291926 6578771.234662893)
Renault Aire-Sur-L'adour - Edenauto,POINT (-29543.564938373354 5422558.711459064)
Spar,POINT (151365.76935983784 5494882.073100637)
,POINT (598053.845345149 5582587.123983592)
Fromagerie Jacquin,POINT (171257.01554128522 5982168.931076409)
Élevage du Chéneau,POINT (338592.43995892286 6572390.202861428)
Les tissus de Pearl,POINT (266294.6676171348 6255936.222241624)
Renault Alençon BodemerAuto,POINT (12976.410314043216 6182737.757006896)
Migennes Fleurs,POINT (390375.86936274555 6100769.819659659)
,POINT (549726.4253763892 5849320.73011836)
Chalet de la Marine,POINT (390113.02178108454 6100312.554229602)
Carrefour Contact,POINT (549552.2882969413 5850005.464171953)
Garage Motrio,POINT (275834.2078072721 6240874.727317938)
Garage Diderot-Coquelin,POINT (276113.0775878012 6241348.295322755)
,POINT (622876.0280949245 5342494.2094068015)
MotoRiders,POINT (622909.6403852523 5342691.634975269)
Decathlon,POINT (293499.25647537404 6245978.233060311)
Boulangerie de l'Aigle,POINT (636526.1841898278 5650350.855691153)
Speedy,POINT (451281.3899157283 6317987.916788965)
ALDI,POINT (41831.892627542846 5888555.609758899)
Intermarché Contact Station-service 24h/24 7j/7,POINT (-34445.478716671845 5731040.1095685195)
Maison Vessiere,POINT (544503.7267504848 5740975.317330236)
Mon Boucher,POINT (636419.139367481 5650093.252726714)
Entendre,POINT (636474.7434531322 5650327.670964196)
Otera,POINT (251974.28906124498 6426212.933656264)
Ferme Dache Dise,POINT (-159964.7098691301 5390618.890741428)
Atelier,POINT (802186.1014851214 5414917.308923693)
U Drive,POINT (182906.86531098 5323378.262195938)
Aixam Mega - Voitures Sans Permis 37,POINT (78207.76245385387 5996474.93317569)
,POINT (78141.49723945618 5997177.5157546755)
,POINT (78008.14953016842 5997039.595527925)
L'enchantement,POINT (544471.633341289 5740925.1733802585)
Boulangerie Jacquier,POINT (544450.8945201543 5740930.996637079)
Optic 2000 M. Holl Didier,POINT (544478.212323195 5740954.241839924)
Bistro de la place Ronde,POINT (544466.4347210691 5740950.747876253)
Yann Pierrel - producteur de légumes,POINT (748785.1669576003 6102679.306424176)
,POINT (748768.8252563518 6102730.48862767)
Biocoop - La Belz Saison,POINT (-354389.9827187682 6052287.36431911)
Carrefour Market,POINT (812306.138946771 5417337.690548903)
Carrefour City,POINT (260892.82253469675 6244677.296095592)
Auchan,POINT (724453.6873686458 5442552.932960423)
Le fournil de Margot,POINT (244276.25678828792 5454383.674329185)
Chez Gril,POINT (244297.6112315025 5454375.34576779)
The Bike Shop,POINT (248517.2566320233 6247085.0963379685)
Le Comptoir des Mobiles,POINT (248024.76807280473 6247828.306135139)
Le Fournil de Cheray,POINT (-150394.45770136162 5776052.0013193805)
,POINT (687668.9458198007 6293533.681684593)
Casino,POINT (257936.54421354705 6248057.829289423)
Le Sud,POINT (678680.8159426608 5370898.782380097)
Le Palais Gourmand,POINT (678466.4257353421 5370968.186580608)
Boulangerie D'Argent,POINT (-341659.91097526986 6127510.348850216)
Carrefour Contact,POINT (-341852.92784035637 6127681.585505377)
Boulangerie Gwenjer,POINT (-341778.64434415003 6127548.738383086)
Fleurdepot,POINT (244315.44115552062 6267024.588226847)
naturéO,POINT (244416.39023182914 6266995.875239773)
Station Service E. Leclerc,POINT (-279852.5252552394 6183962.06806479)
Les Ateliers Gaîté,POINT (258420.11858656435 6247531.820556945)
,POINT (355898.9540218737 5781981.043108228)
Carrefour Market,POINT (355973.34883757087 5782147.078921)
Krys,POINT (286130.5986259956 6265126.726334444)
Naturalia,POINT (261192.90648602817 6251761.403195968)
Proxi,POINT (741908.5918792597 6022750.902539487)
La Rose des Vents,POINT (-307046.26190385665 6136297.400341421)
Michel Guyon,POINT (-306738.18521308625 6136507.209150072)
Chez Cocotte,POINT (469874.84512609075 5841685.592481755)
Intermarché,POINT (430320.3058395912 5428480.960986902)
Lidl,POINT (345443.95402729133 6556708.5029789535)
Mercedes-Benz,POINT (684782.0694036884 6046999.564799868)
Cave Zumbaum,POINT (434837.33522490243 5444290.925737555)
Mondial Tissus,POINT (78097.03380662053 5998082.730789489)
Pacific Pêche,POINT (78020.14365500829 5998173.930987691)
Réauté Chocolat,POINT (77917.51523034865 5998030.790808142)
Laurine Déco,POINT (77957.4761916803 5998105.8378624795)
V and B,POINT (77927.8485118029 5998049.2878399575)
Aubert,POINT (77970.72351089401 5997949.729798801)
Le Marché Provençal,POINT (77985.14253172537 5997969.68812611)
Maison Deluret,POINT (126129.83211052117 5747652.403640778)
,POINT (439925.19967581006 6479421.412559706)
,POINT (665128.976224645 5703932.066910368)
Station Service E. Leclerc,POINT (-170451.52473932665 6126903.325552604)
A la croisée des chemins,POINT (289040.6925118476 5354594.27939163)
Pompes Funèbres Navarre,POINT (555577.5896514547 5524796.173481625)
Profil Plus – Pneus Performance,POINT (705595.4266450458 5925721.519250082)
,POINT (295192.86980671313 6533541.753690032)
Promocash Bethune,POINT (295109.6398103461 6533888.448960023)
Carrosserie GMA,POINT (263758.4645264426 6261892.491656469)
Groupe K-Mel auto,POINT (546554.265465962 5454436.792028348)
,POINT (263689.0902197802 6261962.817793096)
Total Access,POINT (532828.7007774613 5748504.109824744)
,POINT (295803.46994152287 6537299.318618772)
Vival,POINT (327593.11257677054 5712325.925618598)
Carrefour Market,POINT (109775.4226642764 5593674.130212902)
Centre Commercial E. Leclerc,POINT (879339.4180432151 6262853.895001403)
Lidl,POINT (-266541.7636772681 6075189.510561095)
Coeur de Fleurs,POINT (129766.93379346987 6310692.917341712)
Le Fournil du Chalet,POINT (450961.2907199522 6320278.716492746)
Carrefour Market Ur,POINT (216675.85987776908 5228407.208661617)
Decathlon,POINT (483537.7495717592 5695635.564118669)
Garage Luc Michel,POINT (437705.35462434014 5534080.74455189)
Fadel,POINT (453892.744794655 6156167.55086898)
Vival,POINT (175970.16637086158 5629975.872154393)
Le Saint-Claude,POINT (453630.6764494295 6155534.24838334)
U Express,POINT (638795.4590378606 5388862.2836628845)
Central Spa,POINT (453652.1611111526 6155721.339624181)
Duparcq,POINT (453589.33239054895 6155592.45671078)
Garçon Français,POINT (453705.40522359905 6156594.408170287)
Le Jardin des Fleurs,POINT (453672.76634889847 6155474.802346158)
Garage Bourry,POINT (455195.07151744555 6157625.73055107)
Peintures Zolpan,POINT (675590.1175803889 5375175.225007375)
Audika,POINT (453639.48182115133 6155521.716662518)
Cabinet paramédical Amram,POINT (267710.44003299274 6256953.877084247)
Le Fournil de Val-de-reuil,POINT (134780.17366549768 6320346.647800629)
TotalEnergies,POINT (209539.7276742266 5599569.71254154)
Uzege Matériaux,POINT (491526.16035362775 5465829.326969898)
EnchèresVO,POINT (-58797.486895926726 5577909.28548133)
Guerandaise,POINT (-267524.21587797673 5995610.55504623)
Bureau Vallée,POINT (-268527.7721059075 5995126.6804666305)
,POINT (26914.233570753593 5738825.291231787)
Café Columbus & Co,POINT (-198166.61048446866 5863254.93842967)
Centre commercial Les Vergers,POINT (61591.596318855205 5496424.145160853)
Essentielle,POINT (262170.34901589266 6253977.986771435)
Graine d'artiste,POINT (262139.07363678963 6254005.461477361)
Mon Loucheben bio,POINT (262202.98024256295 6253965.741588063)
,POINT (262172.5172589604 6253996.630827249)
Le coin des affaires,POINT (262164.8967881663 6253986.824049689)
Au cœur du Marché,POINT (262162.5841986546 6253990.495946402)
"Volailes, gibiers",POINT (262178.8592917195 6253985.832998892)
Ferme Saint-Quentin,POINT (262181.1730957273 6253982.168816524)
Vitis - Vinifera,POINT (262141.63991517777 6253995.552902578)
Au cœur du Marché,POINT (262145.17615502805 6253997.553325977)
Épicerie bio,POINT (262149.1875446703 6253981.839953494)
Les viviers de Noirmoutier,POINT (262186.4853091766 6253956.034696112)
Boucherie Quesson,POINT (262174.54501573695 6253961.968035814)
Larrazet / Gallen,POINT (262130.55055693624 6254020.413378323)
Mercato,POINT (262126.1608335722 6253999.399819358)
La poissonerie du petit bâteau,POINT (262134.66749633866 6254033.343846387)
Coco 2 Paris,POINT (262137.1610335609 6254052.763649185)
Grande crémerie de l'observatoire,POINT (431555.3187941104 5404669.285179431)
Mélisse coquillage,POINT (431564.0302302784 5404684.449236207)
Boucheries,POINT (431547.93398427096 5404664.040055097)
Boulangerie Patisserie,POINT (431540.503872358 5404663.868323217)
Jean Brume,POINT (431541.1577214368 5404668.662350083)
Les Jardins de Dylan,POINT (431530.4511437838 5404675.242798508)
Lebrun,POINT (431525.13883065036 5404672.181582088)
Gaëtan,POINT (431529.3622019029 5404681.344731113)
Lunivet des halles,POINT (431527.54208120593 5404690.914203909)
Oscar winery,POINT (431524.7858319029 5404694.5919570085)
Le Panier de Benedita,POINT (431531.876585387 5404696.70867173)
Chez raf et lou,POINT (431541.6770233109 5404701.414360138)
Chez Patrice,POINT (431548.1918901403 5404701.34780877)
Les Fées Fleurs,POINT (431549.2028893578 5404706.441183883)
Le primeur du jardin - Caroline & Daniel,POINT (431560.07838093716 5404699.3644685)
Le primeur du jardin - Caroline & Daniel,POINT (431556.3228320127 5404696.128531823)
Caviste et traiteur,POINT (431562.836609457 5404694.724519953)
Grand Frais,POINT (349314.7307265301 6564762.988614816)
,POINT (432432.13921351364 5403870.622730897)
Intermarché - Les Portes du Lauragais,POINT (176807.79949995526 5381413.608923421)
Lidl,POINT (391713.1954497501 6511758.569392394)
Régin' Coiffure,POINT (-117396.58173029496 5422754.367048642)
Grain de Beauté,POINT (248387.64734889264 6246761.5363928005)
Boucherie Didier,POINT (248350.1438124444 6246816.854594059)
Rapid' Market,POINT (248337.18622371607 6246794.903152109)
3L Communication,POINT (248562.07385901661 6246883.723974988)
Des Créateurs Français,POINT (248372.76393297358 6246792.366394378)
Joelle Cannet,POINT (248359.21635094404 6246784.214951345)
La Terre qui Chante,POINT (458230.2981809826 5433739.309895904)
Patricia coiffure,POINT (3749.7572488835685 6248277.240405763)
La Bicyclette,POINT (289453.3159724973 6310281.629209137)
Roche Bobois,POINT (-497217.5454417267 6177930.402398409)
Netto,POINT (564892.4947166627 5742865.224417618)
,POINT (641551.7248655882 5989236.794079485)
C et R Pagnot,POINT (670876.7519086492 5979940.950654623)
LauMas,POINT (670854.1763159165 5979944.294971363)
Afroline Chez Chantal,POINT (637661.5650722757 5647795.099478929)
Carrefour Market,POINT (258210.45695259294 6224196.286379378)
Carrefour,POINT (258105.36022133505 6224898.544362968)
Gamm Vert,POINT (55562.278533080054 5528175.76939932)
Intermarché,POINT (604371.3377671582 5711124.690924377)
Carrefour Market,POINT (607273.1919892591 5711514.462268283)
Boulangerie Patisserie Meillat,POINT (585217.8954244019 5683620.543009259)
Station Elan,POINT (528843.9575706827 5734809.250605064)
,POINT (528215.0692393952 5734085.619432611)
King Jouet,POINT (662674.9433340334 5712151.900371049)
Le Marigny,POINT (535620.921190941 5734280.511007963)
Institut Minci' Bel,POINT (248898.09174197615 6247080.157947807)
,POINT (248565.70287441649 6247038.283220887)
tabac,POINT (248660.45802497974 6246563.875284991)
Picard,POINT (248665.54532570898 6246541.248049865)
Stéphane Lelan,POINT (248521.17507809922 6247035.120638854)
Atelier Du Pain,POINT (249412.92212299685 6246487.876425219)
Mobalpa,POINT (249005.72655762415 6246296.816882321)
Atelier de Dépannage,POINT (248548.927027154 6247014.606164796)
Ré-par-Bike,POINT (248542.60408007688 6247035.611092674)
Silly Beauté,POINT (248555.87336337945 6246904.965345543)
Micromania,POINT (249127.3208374176 6246417.069912286)
Cuisines Élite,POINT (249068.4884865334 6246328.017230278)
Boucherie Primeur Silly,POINT (248672.56958557805 6246527.448510126)
Jumbo,POINT (676340.4461001721 5816812.63662127)
,POINT (269143.23319899297 6253888.9235661365)
PADD,POINT (684721.465434302 6234144.135079895)
Lav'Ande,POINT (686259.3578202743 6296040.493755689)
Librairie Hisler,POINT (687295.4305849854 6295088.706563899)
Lavomatique,POINT (687787.9859358984 6294346.993908769)
Lavomatique Metz,POINT (687700.3329688478 6295124.628814064)
Garage Chretien,POINT (-2127.7528853738277 6278717.404941937)
W-Autosport,POINT (352884.295906232 5918493.4197461195)
Les Quatre Saisons,POINT (655916.1320177529 6219321.771036639)
Lidl,POINT (655715.4754828962 6219339.672320479)
Banette,POINT (-304070.1909772439 6145795.032954703)
Carrefour Market,POINT (720586.515050182 5655747.369063875)
,POINT (-306492.0466869933 6136222.546183783)
Gildas Coiffure,POINT (-306500.4958363445 6136258.1535772225)
Total,POINT (258283.44914270606 6224411.727702553)
Garage Moog,POINT (136674.8066516867 5485248.551346658)
,POINT (-166926.0700011075 5820061.056461784)
,POINT (-166904.8413742132 5820369.338439913)
MS Mode,POINT (-36592.26631844432 6309817.186625786)
SFR,POINT (-36661.55146363631 6309895.567052269)
,POINT (-36619.653768714554 6309899.2105922485)
Marionnaud,POINT (-36489.92676541264 6309883.214311629)
,POINT (-36553.68241875198 6309913.575165368)
Générale d'Optique,POINT (-36419.43506708325 6310003.9715044405)
Lio,POINT (-36507.29756237066 6309970.798603585)
Deichmann,POINT (-36650.48952788275 6309801.679104233)
La Chaise Longue,POINT (-36433.925899458285 6309987.091414626)
,POINT (-36468.663984534345 6309940.797340259)
Micromania,POINT (-36654.88341865266 6309915.363380778)
Okaïdi,POINT (-36614.671495981085 6309916.335997545)
Promovacances,POINT (-36542.37755394936 6309946.227409294)
Bleu Libellule,POINT (-36474.80539992078 6309955.833855074)
Promod,POINT (-36473.503262198465 6309888.872888444)
RougeGorge,POINT (-36520.14917312704 6309908.479214424)
,POINT (-36516.193526706906 6309930.618838038)
MOA,POINT (-36632.251991179626 6309889.185739122)
,POINT (-36594.92681666046 6309929.806302561)
Naumy,POINT (-36606.69551165978 6309715.687909948)
,POINT (-36648.383131009585 6309828.072712131)
,POINT (-36569.887464506675 6309855.431881912)
Franck Provost,POINT (-36532.76530608931 6309859.344658061)
Bouygues Telecom,POINT (-36566.791627205515 6309837.467830479)
Bréal,POINT (-36641.5623556221 6309844.535453719)
Saint Algue,POINT (-36604.238354703266 6309881.771371526)
Orange,POINT (-36584.63613206793 6309878.248396649)
Adopt',POINT (-36659.15048549017 6309904.410117872)
Photominute,POINT (-36645.65117740279 6309926.590731396)
Tchip,POINT (-36535.385567248326 6309949.243850467)
5àsec,POINT (-36521.147736113926 6309946.657159379)
Jeff de Bruges,POINT (-36484.167115700584 6309980.595721877)
Yves Rocher,POINT (-36670.03778557992 6309868.410151512)
Aux Délices de la Galerie,POINT (-36525.51320011144 6309842.9537625415)
,POINT (-36425.88586813324 6309997.971495702)
Quai des Viandes,POINT (-36453.98073497926 6309983.942359043)
Civette Saint-Clair,POINT (-36471.93559110707 6309985.903146887)
Bar à Beauté,POINT (-36633.48000650108 6309864.910571092)
Fille de Cesar,POINT (-166861.97223830872 5820399.827566732)
Le Bois Jaune,POINT (174821.701446754 5421878.365730066)
,POINT (257898.9738854043 6224723.859978608)
Fromagerie épice fine,POINT (621285.7110040478 5642154.847083162)
Super U,POINT (35977.36849337624 5876734.489850678)
Franprix,POINT (255747.91396895863 6247909.881706763)
Carrefour,POINT (210147.7658648885 5807265.122929093)
DDS Automobiles,POINT (118129.79478864855 6366819.904544297)
,POINT (555056.2356163351 5772217.213715813)
Armor Nails,POINT (-260826.79894470723 5986470.673208258)
Lidl,POINT (538515.3933669652 5448192.193915676)
Tabac de la gare,POINT (-261012.70249433204 5986227.686814564)
Au Fournil d'Autrefois,POINT (-260859.22631237537 5986169.086292989)
Aldi,POINT (70339.37039187431 5493953.534080099)
Casino Shop,POINT (-260801.91903851499 5986146.988158679)
Cador Clean,POINT (738639.4974347523 5605385.993770595)
Altitude Auto,POINT (737584.1330022867 5603374.92208049)
Banette,POINT (410657.33148973354 5382818.235470872)
L'Atelier d'Art,POINT (739548.9108828389 5605732.08836297)
Salsa,POINT (739571.9762813312 5605810.257318925)
Atelier d'Artiste,POINT (739628.6601660431 5605663.695010064)
,POINT (739540.1723028116 5605691.086862924)
Grand Frais,POINT (255860.5987732072 6225139.566515977)
Pain Bar,POINT (290086.9823843812 5509840.79540139)
Total,POINT (284776.00740227767 5510730.090444983)
Total,POINT (270385.2470216717 5508694.442446529)
Total Access,POINT (302207.73797262885 5510216.734958247)
,POINT (391595.53023167304 5460335.106399638)
Carrefour Market,POINT (272732.37395725155 5508451.531679282)
,POINT (214219.84397005555 5523928.786088801)
Gourmandises d'Antan,POINT (249686.22260484344 5513212.5347845545)
Gémo,POINT (223646.75693669866 5521503.262166646)
Spar,POINT (249490.2780371491 5513332.598166527)
Marie Blachère,POINT (-56216.19813526512 5587672.754348162)
Caisse Station de ski du Col d'Ornon,POINT (664686.2861575853 5624222.830562457)
Aldi,POINT (522696.9714000769 5521482.496453211)
SARL Bucher Jean-Luc,POINT (812411.4694489596 6134330.926489971)
Boulangerie Copaline,POINT (357836.5922105706 6568556.471368357)
Sout' Pêche,POINT (166584.0095239659 5819595.5199892055)
Pillaud Matériaux,POINT (-7284.182296980835 6313086.44278484)
Antiquités Brocante,POINT (-7198.920303208751 6313110.889113088)
GDC Auto,POINT (-7006.004195619274 6313168.791896246)
,POINT (-83319.23248234698 5929513.126766473)
Total Lamagdelaine,POINT (165093.38382833058 5538289.7295810515)
Multi-service,POINT (172878.79071568517 5540921.493509647)
,POINT (173101.8193154895 5540971.378141725)
Le Fournil de Lamagdelaine,POINT (165331.5630108319 5537941.98720474)
Le Fournil de Saint-Géry,POINT (175971.42428110755 5539719.133454232)
Cuisines Références,POINT (-55206.56374961737 5587471.012048352)
Ambition Coiffure,POINT (-55261.43312662938 5587726.315699884)
,POINT (-55278.13105024836 5587786.935298634)
Valérie Coiffure,POINT (-55324.09486799691 5587818.14710026)
Lunettes créateurs Optique Devezaud,POINT (-55244.27879309813 5587641.292103047)
Endémique Ciffure,POINT (-55197.023669256385 5587460.582361847)
,POINT (-55385.34285183137 5587869.152748369)
Garage de Zurich,POINT (863561.4952943247 6203874.00506112)
Objectif Austerlitz,POINT (863020.015027208 6203602.111136293)
